"BehaviorSpace results (NetLogo 6.1.1)"
"wasps.nlogo"
"experiment-1"
"10/28/2019 20:47:27:655 +1300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","208","0","325"
"[run number]","r-mean","r-sd","lambda-1","p-ldd","use-seed?","seed","scenario","number-of-sites","wasps-per-site","percentile-selector","init-sd-occ","homogenous?","show-pop","track-monitoring-area?","base-prop-gm","release-prop-gm","show-pop?","periodicity","init-mean-occ","[step]","total-pop","prop-occupied"
"87","2","0","0.5","1.0E-4","true","27","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","2","0","2.080169741850935E-5"
"71","2","0","0.5","1.0E-4","true","11","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12275249","0.9904520208849042"
"89","2","0","0.5","1.0E-4","true","29","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"78","2","0","0.5","1.0E-4","true","18","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12273180","0.9897655648700934"
"76","2","0","0.5","1.0E-4","true","16","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12263791","0.9894951428036528"
"70","2","0","0.5","1.0E-4","true","10","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12273567","0.9897239614752564"
"93","2","0","0.5","3.0E-4","true","3","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","2","0","2.080169741850935E-5"
"69","2","0","0.5","1.0E-4","true","9","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12276944","0.9896615563830009"
"79","2","0","0.5","1.0E-4","true","19","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12271636","0.9897239614752564"
"96","2","0","0.5","3.0E-4","true","6","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","3","0","4.16033948370187E-5"
"67","2","0","0.5","1.0E-4","true","7","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12271876","0.9897447631726749"
"73","2","0","0.5","1.0E-4","true","13","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12268987","0.990119193726208"
"98","2","0","0.5","3.0E-4","true","8","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"72","2","0","0.5","1.0E-4","true","12","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12271127","0.9897239614752564"
"80","2","0","0.5","1.0E-4","true","20","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12270216","0.9896407546855823"
"81","2","0","0.5","1.0E-4","true","21","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12267118","0.9893079275268862"
"83","2","0","0.5","1.0E-4","true","23","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12272339","0.9897447631726749"
"104","2","0","0.5","3.0E-4","true","14","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"86","2","0","0.5","1.0E-4","true","26","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12267098","0.9901607971210451"
"84","2","0","0.5","1.0E-4","true","24","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12272618","0.9893495309217232"
"107","2","0","0.5","3.0E-4","true","17","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"88","2","0","0.5","1.0E-4","true","28","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12266249","0.9894951428036528"
"85","2","0","0.5","1.0E-4","true","25","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12270872","0.989994383541697"
"90","2","0","0.5","1.0E-4","true","30","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12280538","0.989869573357186"
"94","2","0","0.5","3.0E-4","true","4","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12268265","0.9904936242797412"
"112","2","0","0.5","3.0E-4","true","22","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"95","2","0","0.5","3.0E-4","true","5","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12267929","0.9895783495933268"
"101","2","0","0.5","3.0E-4","true","11","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12269470","0.9895367461984897"
"91","2","0","0.5","3.0E-4","true","1","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12270972","0.9903064090029746"
