"BehaviorSpace results (NetLogo 6.1.1)"
"wasps.nlogo"
"experiment_nozeroldd"
"11/11/2019 21:16:59:799 +1300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","208","0","325"
"[run number]","lambda-1","use-seed?","seed","init-sd-occ","percentile-selector","homogenous?","show-pop","number-of-sites","track-monitoring-area?","p-ldd","base-prop-gm","release-prop-gm","show-pop?","r-mean","periodicity","wasps-per-site","init-mean-occ","r-sd","scenario","[step]","total-pop","prop-occupied"
"106","0.5","true","6","0","0.95","false","0","20","false","0.001","0.3","1","true","1.6","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"104","0.5","true","6","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","2.2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"107","0.5","true","6","0","0.95","false","0","20","false","0.001","0.3","1","true","1.8","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"105","0.5","true","6","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","2.4","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"110","0.5","true","6","0","0.95","false","0","20","false","0.001","0.3","1","true","2.4","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"102","0.5","true","6","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","1.8","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"109","0.5","true","6","0","0.95","false","0","20","false","0.001","0.3","1","true","2.2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"111","0.5","true","6","0","0.95","false","0","20","false","0.01","0.3","1","true","1.6","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"108","0.5","true","6","0","0.95","false","0","20","false","0.001","0.3","1","true","2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"112","0.5","true","6","0","0.95","false","0","20","false","0.01","0.3","1","true","1.8","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"115","0.5","true","6","0","0.95","false","0","20","false","0.01","0.3","1","true","2.4","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"113","0.5","true","6","0","0.95","false","0","20","false","0.01","0.3","1","true","2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"114","0.5","true","6","0","0.95","false","0","20","false","0.01","0.3","1","true","2.2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"116","0.5","true","6","0","0.95","false","0","20","false","0.1","0.3","1","true","1.6","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"118","0.5","true","6","0","0.95","false","0","20","false","0.1","0.3","1","true","2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"122","0.5","true","7","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","1.8","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"120","0.5","true","6","0","0.95","false","0","20","false","0.1","0.3","1","true","2.4","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"123","0.5","true","7","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"119","0.5","true","6","0","0.95","false","0","20","false","0.1","0.3","1","true","2.2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"125","0.5","true","7","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","2.4","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"121","0.5","true","7","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","1.6","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"117","0.5","true","6","0","0.95","false","0","20","false","0.1","0.3","1","true","1.8","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"124","0.5","true","7","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","2.2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"126","0.5","true","7","0","0.95","false","0","20","false","0.001","0.3","1","true","1.6","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"127","0.5","true","7","0","0.95","false","0","20","false","0.001","0.3","1","true","1.8","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"128","0.5","true","7","0","0.95","false","0","20","false","0.001","0.3","1","true","2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"129","0.5","true","7","0","0.95","false","0","20","false","0.001","0.3","1","true","2.2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"131","0.5","true","7","0","0.95","false","0","20","false","0.01","0.3","1","true","1.6","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"133","0.5","true","7","0","0.95","false","0","20","false","0.01","0.3","1","true","2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"130","0.5","true","7","0","0.95","false","0","20","false","0.001","0.3","1","true","2.4","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"132","0.5","true","7","0","0.95","false","0","20","false","0.01","0.3","1","true","1.8","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"134","0.5","true","7","0","0.95","false","0","20","false","0.01","0.3","1","true","2.2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"135","0.5","true","7","0","0.95","false","0","20","false","0.01","0.3","1","true","2.4","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"136","0.5","true","7","0","0.95","false","0","20","false","0.1","0.3","1","true","1.6","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
